회사명,종목코드,시장구분,업종
삼성전자,005930,KOSPI,
SK하이닉스,000660,KOSPI,
삼성전자우,005935,KOSPI,
SK스퀘어,402340,KOSPI,
현대차,005380,KOSPI,
LG에너지솔루션,373220,KOSPI,
삼성전기,009150,KOSPI,
HD현대중공업,329180,KOSPI,
두산에너빌리티,034020,KOSPI,
한화에어로스페이스,012450,KOSPI,
삼성생명,032830,KOSPI,
삼성바이오로직스,207940,KOSPI,
삼성물산,028260,KOSPI,
기아,000270,KOSPI,
KB금융,105560,KOSPI,
현대모비스,012330,KOSPI,
삼성SDI,006400,KOSPI,
신한지주,055550,KOSPI,
셀트리온,068270,KOSPI,
HD현대일렉트릭,267260,KOSPI,
SK,034730,KOSPI,
LS ELECTRIC,010120,KOSPI,
미래에셋증권,006800,KOSPI,
한화오션,042660,KOSPI,
효성중공업,298040,KOSPI,
POSCO홀딩스,005490,KOSPI,
하나금융지주,086790,KOSPI,
NAVER,035420,KOSPI,
LG전자,066570,KOSPI,
HD한국조선해양,009540,KOSPI,
고려아연,010130,KOSPI,
한미반도체,042700,KOSPI,
삼성중공업,010140,KOSPI,
삼성화재,000810,KOSPI,
두산,000150,KOSPI,
한국전력,015760,KOSPI,
LG화학,051910,KOSPI,
우리금융지주,316140,KOSPI,
SK텔레콤,017670,KOSPI,
현대로템,064350,KOSPI,
HD현대,267250,KOSPI,
SK이노베이션,096770,KOSPI,
포스코퓨처엠,003670,KOSPI,
한화시스템,272210,KOSPI,
HMM,011200,KOSPI,
KT&G,033780,KOSPI,
LIG디펜스앤에어로스페이스,079550,KOSPI,
메리츠금융지주,138040,KOSPI,
LG이노텍,011070,KOSPI,
카카오,035720,KOSPI,
기업은행,024110,KOSPI,
LG,003550,KOSPI,
현대글로비스,086280,KOSPI,
LS,006260,KOSPI,
한국항공우주,047810,KOSPI,
현대오토에버,307950,KOSPI,
현대건설,000720,KOSPI,
에이피알,278470,KOSPI,
KT,030200,KOSPI,
한국금융지주,071050,KOSPI,
삼성에스디에스,018260,KOSPI,
S-Oil,010950,KOSPI,
크래프톤,259960,KOSPI,
포스코인터내셔널,047050,KOSPI,
삼성에피스홀딩스,0126Z0,KOSPI,
대우건설,047040,KOSPI,
NH투자증권,005940,KOSPI,
카카오뱅크,323410,KOSPI,
DB손해보험,005830,KOSPI,
삼양식품,003230,KOSPI,
대한전선,001440,KOSPI,
삼성증권,016360,KOSPI,
HD현대마린솔루션,443060,KOSPI,
